Row ID,Category,Element Type,Content/Text,Module,Current Heading,Book Page,PDF Page,Source Line ID,Source Span ID,Confidence,Font/Size,Author String,Year,Label,Notes
M000001,Heading,Main/Module Heading,CPA PROGRAM,,,,1,P001-L001,,0.95,AvenirLTStd-Medium (1) / 18.0,,,,
M000002,Heading,Main/Module Heading,GLOBAL STRATEGY,,CPA PROGRAM,,1,P001-L002,,0.95,AvenirLTStd-Medium (1) / 35.0,,,,
M000003,Heading,Main/Module Heading,AND LEADERSHIP,,GLOBAL STRATEGY,,1,P001-L003,,0.95,AvenirLTStd-Medium (1) / 35.0,,,,
M000004,Heading,Main/Module Heading,CPA PROGRAM,,AND LEADERSHIP,,2,P002-L001,,0.95,HelveticaNeueLTStd-Lt (1) / 48.0,,,,
M000005,Heading,Main/Module Heading,GLOBAL STRATEGY,,CPA PROGRAM,,2,P002-L002,,0.95,HelveticaNeueLTStd-Lt (1) / 40.0,,,,
M000006,Heading,Main/Module Heading,AND LEADERSHIP,,GLOBAL STRATEGY,,2,P002-L003,,0.95,HelveticaNeueLTStd-Lt (1) / 40.0,,,,
M000007,Heading,Main Heading,THIRD EDITION,,AND LEADERSHIP,,2,P002-L004,,0.9,HelveticaNeueLTStd-Roman (1) / 13.95,,,,
M000008,Heading,Subheading Candidate,Authors,,THIRD EDITION,,3,P003-L017,,0.68,TimesLTStd-Bold (1) / 8.47,,,,
M000009,Heading,Subheading Candidate,Third edition updates,,Authors,,3,P003-L024,,0.68,TimesLTStd-Bold (1) / 8.47,,,,
M000010,Heading,Subheading Candidate,Advisory panel,,Third edition updates,,3,P003-L037,,0.68,TimesLTStd-Bold (1) / 8.47,,,,
M000011,Heading,Subheading Candidate,CPA Program team,,Advisory panel,,3,P003-L052,,0.68,TimesLTStd-Bold (1) / 8.47,,,,
M000012,Heading,Main/Module Heading,ACKNOWLEDGEMENTS,MODULE 1,CPA Program team,iii,4,P004-L001,,0.95,HelveticaNeueLTStd-Lt (1) / 30.0,,,,
M000013,Heading,Module Heading,MODULE 1,MODULE 1,ACKNOWLEDGEMENTS,iii,4,P004-L002,,0.96,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M000014,Heading,Main Heading,MODULE 2,MODULE 1,MODULE 1,iii,4,P004-L007,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M000015,Heading,Main Heading,MODULE 3,MODULE 1,MODULE 2,iii,4,P004-L013,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M000016,Heading,Main Heading,MODULE 4,MODULE 1,MODULE 3,iii,4,P004-L017,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M000017,Heading,Main Heading,MODULE 6,MODULE 1,MODULE 4,iii,4,P004-L025,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M000018,Heading,Main Heading,MODULE 7,MODULE 1,MODULE 6,iii,4,P004-L029,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M000019,Heading,Main/Module Heading,BRIEF CONTENTS,MODULE 1,MODULE 7,,5,P005-L001,,0.95,HelveticaNeueLTStd-Lt (1) / 30.0,,,,
M000020,Heading,Module Heading,Module 1: An Introduction to Strategy and Leadership,MODULE 1,BRIEF CONTENTS,,5,P005-L004,,0.96,HelveticaNeueLTStd-Roman (1) / 8.5,,,,
M000021,Heading,Module Heading,Module 2: Understanding the External Environment,MODULE 1,Module 1: An Introduction to Strategy and Leadership,,5,P005-L006,,0.96,HelveticaNeueLTStd-Roman (1) / 8.5,,,,
M000022,Heading,Module Heading,Module 3: Understanding the Internal Environment,MODULE 1,Module 2: Understanding the External Environment,,5,P005-L008,,0.96,HelveticaNeueLTStd-Roman (1) / 8.5,,,,
M000023,Heading,Module Heading,"Module 4: Product, Service and Market Development",MODULE 1,Module 3: Understanding the Internal Environment,,5,P005-L010,,0.96,HelveticaNeueLTStd-Roman (1) / 8.5,,,,
M000024,Heading,Main/Module Heading,CONTENTS,MODULE 1,"Module 4: Product, Service and Market Development",,6,P006-L001,,0.95,HelveticaNeueLTStd-Lt (1) / 30.0,,,,
M000025,Heading,Module Heading,MODULE 2,MODULE 1,CONTENTS,,6,P006-L102,,0.96,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M000026,Heading,Main Heading,Understanding the External,MODULE 1,MODULE 2,,6,P006-L103,,0.9,HelveticaNeueLTStd-Roman (1) / 14.0,,,,
M000027,Heading,Module Heading,MODULE 1,MODULE 1,Understanding the External,,6,P006-L004,,0.96,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M000028,Heading,Main Heading,Environment,MODULE 1,MODULE 1,,6,P006-L104,,0.9,HelveticaNeueLTStd-Roman (1) / 14.0,,,,
M000029,Heading,Main Heading,69,MODULE 1,Environment,,6,P006-L105,,0.9,HelveticaNeueLTStd-Roman (1) / 14.0,,,,
M000030,Heading,Main Heading,An Introduction to Strategy,MODULE 1,69,,6,P006-L005,,0.9,HelveticaNeueLTStd-Roman (1) / 14.0,,,,
M000031,Heading,Subheading Candidate,Preview,MODULE 1,An Introduction to Strategy,,6,P006-L106,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000032,Heading,Subheading Candidate,70,MODULE 1,Preview,,6,P006-L107,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000033,Heading,Main Heading,and Leadership,MODULE 1,70,,6,P006-L006,,0.9,HelveticaNeueLTStd-Roman (1) / 14.0,,,,
M000034,Heading,Main Heading,1,MODULE 1,and Leadership,,6,P006-L007,,0.9,HelveticaNeueLTStd-Roman (1) / 14.0,,,,
M000035,Heading,Subheading Candidate,2.1,MODULE 1,1,,6,P006-L108,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000036,Heading,Subheading Candidate,Understanding the external environment,MODULE 1,2.1,,6,P006-L109,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000037,Heading,Subheading Candidate,71,MODULE 1,Understanding the external environment,,6,P006-L110,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000038,Heading,Subheading Candidate,Preview,MODULE 1,71,,6,P006-L008,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000039,Heading,Subheading Candidate,2,MODULE 1,Preview,,6,P006-L009,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000040,Heading,Subheading Candidate,1.1,MODULE 1,2,,6,P006-L010,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000041,Heading,Subheading Candidate,Introducing strategy and leadership,MODULE 1,1.1,,6,P006-L011,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000042,Heading,Subheading Candidate,3,MODULE 1,Introducing strategy and leadership,,6,P006-L012,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000043,Heading,Subheading Candidate,1.2,MODULE 1,3,,6,P006-L015,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000044,Heading,Subheading Candidate,The strategy process,MODULE 1,1.2,,6,P006-L016,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000045,Heading,Subheading Candidate,6,MODULE 1,The strategy process,,6,P006-L017,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000046,Heading,Subheading Candidate,2.2,MODULE 1,6,,6,P006-L116,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000047,Heading,Subheading Candidate,Defining the industry for analysis,MODULE 1,2.2,,6,P006-L117,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000048,Heading,Subheading Candidate,79,MODULE 1,Defining the industry for analysis,,6,P006-L118,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000049,Heading,Subheading Candidate,1.3,MODULE 1,79,,6,P006-L022,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000050,Heading,Subheading Candidate,Gaining competitive advantage,MODULE 1,1.3,,6,P006-L023,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000051,Heading,Subheading Candidate,12,MODULE 1,Gaining competitive advantage,,6,P006-L024,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000052,Heading,Subheading Candidate,2.3,MODULE 1,12,,6,P006-L125,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000053,Heading,Subheading Candidate,Remote environment analysis — growth,MODULE 1,2.3,,6,P006-L126,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000054,Heading,Subheading Candidate,99,MODULE 1,Remote environment analysis — growth,,6,P006-L127,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000055,Heading,Subheading Candidate,2.4,MODULE 1,99,,6,P006-L132,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000056,Heading,Subheading Candidate,Industry environment analysis —,MODULE 1,2.4,,6,P006-L133,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000057,Heading,Subheading Candidate,industry profitability,MODULE 1,Industry environment analysis —,,6,P006-L134,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000058,Heading,Subheading Candidate,115,MODULE 1,industry profitability,,6,P006-L135,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000059,Heading,Subheading Candidate,1.4,MODULE 1,115,,6,P006-L036,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000060,Heading,Subheading Candidate,Organisational context for strategy,MODULE 1,1.4,,6,P006-L037,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000061,Heading,Subheading Candidate,18,MODULE 1,Organisational context for strategy,,6,P006-L038,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000062,Heading,Subheading Candidate,2.5,MODULE 1,18,,6,P006-L140,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000063,Heading,Subheading Candidate,Understanding customers and markets,MODULE 1,2.5,,6,P006-L141,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000064,Heading,Subheading Candidate,125,MODULE 1,Understanding customers and markets,,6,P006-L142,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000065,Heading,Subheading Candidate,2.6,MODULE 1,125,,6,P006-L145,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000066,Heading,Subheading Candidate,Competition in the industry,MODULE 1,2.6,,6,P006-L146,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000067,Heading,Subheading Candidate,129,MODULE 1,Competition in the industry,,6,P006-L147,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000068,Heading,Subheading Candidate,1.5,MODULE 1,129,,6,P006-L047,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000069,Heading,Subheading Candidate,The global context of business,MODULE 1,1.5,,6,P006-L048,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000070,Heading,Subheading Candidate,30,MODULE 1,The global context of business,,6,P006-L049,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000071,Heading,Subheading Candidate,1.6,MODULE 1,30,,6,P006-L054,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000072,Heading,Subheading Candidate,Introduction to leadership,MODULE 1,1.6,,6,P006-L055,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000073,Heading,Subheading Candidate,36,MODULE 1,Introduction to leadership,,6,P006-L056,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000074,Heading,Subheading Candidate,2.7,MODULE 1,36,,6,P006-L156,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000075,Heading,Subheading Candidate,Further implications for leadership and,MODULE 1,2.7,,6,P006-L157,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000076,Heading,Subheading Candidate,management,MODULE 1,Further implications for leadership and,,6,P006-L158,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000077,Heading,Subheading Candidate,138,MODULE 1,management,,6,P006-L159,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000078,Heading,Subheading Candidate,1.7,MODULE 1,138,,6,P006-L063,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000079,Heading,Subheading Candidate,Leadership styles,MODULE 1,1.7,,6,P006-L064,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000080,Heading,Subheading Candidate,45,MODULE 1,Leadership styles,,6,P006-L065,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000081,Heading,Subheading Candidate,Review,MODULE 1,45,,6,P006-L171,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
